"experiment","gene_id","log2fc","pvalue","padj","time","conc"
"CYCLOSPORINA","A1BG",-0.296648419210073,0.38259627955727,0.705785532603674,24,3
"CYCLOSPORINA","A1CF",-0.541532471417148,0.0115948062458939,0.0989470658722916,24,3
"CYCLOSPORINA","A2M",0.185301698699191,0.417097399658898,0.731603851920404,24,3
"CYCLOSPORINA","A4GALT",0.9694567091502,0.182775549232203,0.50351915975438,24,3
"CYCLOSPORINA","AAAS",-0.110579320351385,0.899245060761019,0.970232787601493,24,3
"CYCLOSPORINA","AACS",0.60935183568416,0.0864851546822001,0.341284419015101,24,3
"CYCLOSPORINA","AADAC",-0.0735366440090579,0.774243301133504,0.926754733126705,24,3
"CYCLOSPORINA","AADAT",-1.03694972982738,0.330758872159002,0.668014409551096,24,3
"CYCLOSPORINA","AAGAB",0.0458425126944503,0.838056313759861,0.949707247166423,24,3
"CYCLOSPORINA","AAK1",0.0247479515644831,0.943063323803507,0.983228651259517,24,3
"CYCLOSPORINA","AAMDC",0.0521567540183587,0.941462244940145,0.982789158782053,24,3
"CYCLOSPORINA","AAMP",0.0485758632231908,0.87347083014131,0.961292772528861,24,3
"CYCLOSPORINA","AARS",0.74024802776377,0.000905413035726626,0.0163216805691731,24,3
"CYCLOSPORINA","AARS2",-0.199563771748023,0.734727574229098,0.909186359962616,24,3
"CYCLOSPORINA","AARSD1",-0.315565013045756,0.612139914294804,0.848008970406446,24,3
"CYCLOSPORINA","AASDH",-0.0475425621005099,0.937930497970515,0.981832524411962,24,3
"CYCLOSPORINA","AASDHPPT",0.24705385134327,0.473135795550649,0.768887966421244,24,3
"CYCLOSPORINA","AASS",-0.792675638815935,0.0254539834823601,0.163842893112234,24,3
"CYCLOSPORINA","AATF",-0.229163459879292,0.517080650245817,0.795635983958478,24,3
"CYCLOSPORINA","ABAT",-2.28856382158921,2.43225925461758e-08,2.48945021546939e-06,24,3
"CYCLOSPORINA","ABCA1",-1.15543035500835,0.00329530516780626,0.0415977355682744,24,3
"CYCLOSPORINA","ABCA2",-1.59161673220565,2.40290379811922e-06,0.00012756724322632,24,3
"CYCLOSPORINA","ABCA4",-1.50915803517223,0.172264225673459,0.489104982247919,24,3
"CYCLOSPORINA","ABCA5",-0.137773167859996,0.729592911436015,0.906020376462816,24,3
"CYCLOSPORINA","ABCA6",-1.20156032064255,0.00652514892725785,0.0675826959856038,24,3
"CYCLOSPORINA","ABCA7",-1.04265152683637,0.0754046430748165,0.317638913597698,24,3
"CYCLOSPORINA","ABCA8",-1.48894458052414,0.0276970117568388,0.172608749626684,24,3
"CYCLOSPORINA","ABCA9",-1.710835696765,0.0148700949629503,0.116362060108386,24,3
"CYCLOSPORINA","ABCB1",0.37794164527844,0.128403931751795,0.418473054685068,24,3
"CYCLOSPORINA","ABCB10",-0.543743070713431,0.19369504977489,0.519492318341011,24,3
"CYCLOSPORINA","ABCB11",-1.27205773391188,0.000311601125532536,0.00712293840477896,24,3
"CYCLOSPORINA","ABCB4",0.0361424715761499,0.955042094118369,0.985262641590169,24,3
"CYCLOSPORINA","ABCB6",-0.765140549916668,0.0189886976198085,0.135339142822236,24,3
"CYCLOSPORINA","ABCB7",-1.40424213058804,0.138542007894591,0.436730230768716,24,3
"CYCLOSPORINA","ABCB8",0.114830160491398,0.826335398203719,0.945486291966221,24,3
"CYCLOSPORINA","ABCB9",-0.251713969483469,0.626180978980259,0.854301043582234,24,3
"CYCLOSPORINA","ABCC1",-0.623068429935898,0.323833498935019,0.662098869565189,24,3
"CYCLOSPORINA","ABCC10",-0.854662366579467,0.0351660748347486,0.20086564916922,24,3
"CYCLOSPORINA","ABCC11",-1.04996016300638,0.0477212586778569,0.240319689645005,24,3
"CYCLOSPORINA","ABCC2",-0.246693506342843,0.302819778865733,0.642572937559506,24,3
"CYCLOSPORINA","ABCC3",-0.627171022934971,0.00666553160192629,0.0684269461687947,24,3
"CYCLOSPORINA","ABCC4",-0.0244405636905543,0.943036583033604,0.983228651259517,24,3
"CYCLOSPORINA","ABCC5",-0.302967896803809,0.394471952449803,0.7177443708812,24,3
"CYCLOSPORINA","ABCC6",-1.19571641277437,0.000371823064673803,0.00820221447834575,24,3
"CYCLOSPORINA","ABCD1",-0.363982199157036,0.636219341344841,0.859157011413139,24,3
"CYCLOSPORINA","ABCD3",-0.758422183553965,0.21931612034978,0.551359594453231,24,3
"CYCLOSPORINA","ABCD4",-0.634377023466866,0.199438656985102,0.52640550268504,24,3
"CYCLOSPORINA","ABCE1",-0.0946455360818475,0.805782323159849,0.937576093140009,24,3
"CYCLOSPORINA","ABCF1",0.334263092112112,0.160745548747054,0.470799221272306,24,3
"CYCLOSPORINA","ABCF2",-0.0761823491701474,0.795699580783422,0.93416844647607,24,3
"CYCLOSPORINA","ABCF3",0.998194770832494,0.0374490284843083,0.208048123525783,24,3
"CYCLOSPORINA","ABCG2",0.23131736013825,0.317749440907343,0.655723012401,24,3
"CYCLOSPORINA","ABCG5",-0.151979929824765,0.632354668249719,0.856661469600737,24,3
"CYCLOSPORINA","ABCG8",-2.10087904382177,7.29181648250298e-13,1.84094060128259e-10,24,3
"CYCLOSPORINA","ABHD1",-1.90172448374781,0.148876729523693,0.453204358080338,24,3
"CYCLOSPORINA","ABHD11",-0.050039622922663,0.925712404686281,0.979238233672332,24,3
"CYCLOSPORINA","ABHD12",-0.246418641038085,0.253828782693857,0.59157958211015,24,3
"CYCLOSPORINA","ABHD13",0.65445214247089,0.112649519824765,0.392221801499432,24,3
"CYCLOSPORINA","ABHD14A",-2.46711019631163,0.00179222582093033,0.0271486367354527,24,3
"CYCLOSPORINA","ABHD14B",0.0481807934133916,0.881587919096434,0.96481267207924,24,3
"CYCLOSPORINA","ABHD15",0.967083239491366,0.386147351071283,0.709073092639776,24,3
"CYCLOSPORINA","ABHD16A",0.0684150851271552,0.907810785644334,0.973076548325811,24,3
"CYCLOSPORINA","ABHD17A",-0.820469307376725,0.124570761688953,0.412729199051675,24,3
"CYCLOSPORINA","ABHD17B",0.0417505644053682,0.92455431053869,0.978504515302803,24,3
"CYCLOSPORINA","ABHD18",0.902302943374078,0.153936244212611,0.461312562232767,24,3
"CYCLOSPORINA","ABHD2",0.620635232977723,0.224954514439136,0.557649626564045,24,3
"CYCLOSPORINA","ABHD4",0.110508001113166,0.572451152131229,0.825505486099382,24,3
"CYCLOSPORINA","ABHD5",2.11553847368258,8.83282215739811e-15,3.34498975100666e-12,24,3
"CYCLOSPORINA","ABHD6",-0.39702082122268,0.235387076718454,0.569834344470138,24,3
"CYCLOSPORINA","ABHD8",0.176485019624988,0.687304208953498,0.886217582331256,24,3
"CYCLOSPORINA","ABI1",0.545273421910751,0.00568390009309831,0.0612083307655828,24,3
"CYCLOSPORINA","ABI2",0.94934681301962,0.339042611196307,0.673758021326469,24,3
"CYCLOSPORINA","ABITRAM",-0.00502679480550738,0.989461152563145,0.997169570449696,24,3
"CYCLOSPORINA","ABL1",0.0604716862827561,0.938341150904098,0.981900508006029,24,3
"CYCLOSPORINA","ABL2",0.853211208481756,0.0312126630941626,0.185755403568769,24,3
"CYCLOSPORINA","ABLIM1",0.381096228310515,0.263430409673484,0.599110228549855,24,3
"CYCLOSPORINA","ABLIM2",-0.906905701036781,0.2542399541187,0.59168032171914,24,3
"CYCLOSPORINA","ABLIM3",0.407820413584022,0.0649008286845117,0.289379244381765,24,3
"CYCLOSPORINA","ABR",-0.569284625621837,0.484631320112566,0.775722762341279,24,3
"CYCLOSPORINA","ABRACL",1.36327535739392,0.000351103870713579,0.00784406976080472,24,3
"CYCLOSPORINA","ABRAXAS1",0.113384701420337,0.799580379738662,0.935796152512776,24,3
"CYCLOSPORINA","ABRAXAS2",0.427777122467862,0.0455204549515974,0.233374498513131,24,3
"CYCLOSPORINA","ABT1",0.831544539674833,0.103150760685853,0.373708925955838,24,3
"CYCLOSPORINA","ABTB2",1.28137124678721,0.0114034600020635,0.097999023512438,24,3
"CYCLOSPORINA","AC007666.1",1.58983736132581,0.191031771530142,0.514902006252417,24,3
"CYCLOSPORINA","AC010442.1",-0.45959599873068,0.552939448108508,0.813894884310923,24,3
"CYCLOSPORINA","AC011043.1",-0.953323308705014,0.000890344869297771,0.0161757448205212,24,3
"CYCLOSPORINA","AC027097.1",-0.697175752224983,0.358602968816153,0.688286362689991,24,3
"CYCLOSPORINA","AC093323.1",0.314846671440607,0.622567366858262,0.853298088415576,24,3
"CYCLOSPORINA","AC106795.1",-0.480711213289624,0.0113798283603859,0.0978699697216838,24,3
"CYCLOSPORINA","AC132008.2",-0.444490473114974,0.149516683281312,0.453944157872524,24,3
"CYCLOSPORINA","AC213203.1",-0.170094023215413,0.810456743227302,0.939681378835002,24,3
"CYCLOSPORINA","ACAA1",-1.45631580005189,2.62192606663927e-15,1.18493759390136e-12,24,3
"CYCLOSPORINA","ACAA2",-1.06643833882116,1.73990433696923e-05,0.000691155705325435,24,3
"CYCLOSPORINA","ACACA",-0.522638259256418,0.0675905410039302,0.295572030925963,24,3
"CYCLOSPORINA","ACACB",-0.122498839863758,0.726535466647031,0.905161688406286,24,3
"CYCLOSPORINA","ACAD10",-0.452343563989529,0.157285874664496,0.466456751567718,24,3
"CYCLOSPORINA","ACAD11",-0.436392733703212,0.308247824611837,0.647799396118217,24,3
"CYCLOSPORINA","ACAD8",-0.2938478808437,0.391355950518752,0.714592567316545,24,3
"CYCLOSPORINA","ACAD9",-0.323508435082889,0.539968529530833,0.807653401331815,24,3
"CYCLOSPORINA","ACADL",-0.176845270277637,0.605913007158589,0.844291211008567,24,3
"CYCLOSPORINA","ACADM",-0.700793470532078,0.101926117926356,0.371744021111181,24,3
"CYCLOSPORINA","ACADS",-2.45340520328282,0.0491682240100648,0.244463979421596,24,3
"CYCLOSPORINA","ACADSB",-0.626507755740923,0.259303685525334,0.595622557875722,24,3
"CYCLOSPORINA","ACADVL",-0.956587059373148,0.000438570310820813,0.00940112698346276,24,3
"CYCLOSPORINA","ACAP2",-0.058766084477593,0.828105820631327,0.946204387829881,24,3
"CYCLOSPORINA","ACAP3",-1.33121178766965,3.10338383630309e-05,0.00111574505583036,24,3
"CYCLOSPORINA","ACAT1",0.320706522641005,0.0956398610980404,0.360864982376233,24,3
"CYCLOSPORINA","ACAT2",-0.140126332583048,0.549045054284785,0.811808852857016,24,3
"CYCLOSPORINA","ACBD3",0.478548630944627,0.099470733592666,0.367731559631553,24,3
"CYCLOSPORINA","ACBD4",-2.39393782534328,5.6176292740409e-11,1.06369810303965e-08,24,3
"CYCLOSPORINA","ACBD5",0.239125423570261,0.345080714334876,0.679054368610215,24,3
"CYCLOSPORINA","ACBD6",0.0376863646523741,0.900455970123525,0.970319669598156,24,3
"CYCLOSPORINA","ACD",0.643298426903905,0.569006057245397,0.823290603204911,24,3
"CYCLOSPORINA","ACE2",-0.0406290989872525,0.936359510752024,0.981782412789251,24,3
"CYCLOSPORINA","ACER2",0.0806427775777972,0.883874765400157,0.96554819324146,24,3
"CYCLOSPORINA","ACER3",0.133035232805892,0.593384348343488,0.837549954221687,24,3
"CYCLOSPORINA","ACHE",-0.58568278022091,0.0775375556955617,0.323267585415514,24,3
"CYCLOSPORINA","ACIN1",-0.204900631338488,0.542137031136678,0.808553863079583,24,3
"CYCLOSPORINA","ACKR3",-0.340375306983632,0.582932501991279,0.831333039164494,24,3
"CYCLOSPORINA","ACLY",-0.195732714354942,0.54967476865082,0.812018901779521,24,3
"CYCLOSPORINA","ACMSD",-1.20145154886829,0.00485112859959407,0.0552795105516432,24,3
"CYCLOSPORINA","ACO1",-0.363151908627519,0.0672179624956561,0.294704261969559,24,3
"CYCLOSPORINA","ACO2",-0.60199737843984,0.210146588714759,0.539908501670822,24,3
"CYCLOSPORINA","ACOT1",-1.03059777554535,0.00595938042612992,0.0633344443603948,24,3
"CYCLOSPORINA","ACOT13",-0.15188244333945,0.402081311077622,0.721482803345938,24,3
"CYCLOSPORINA","ACOT2",-0.0467878272155285,0.941591369137656,0.982789158782053,24,3
"CYCLOSPORINA","ACOT4",0.324238634001885,0.29450137313459,0.632960669727975,24,3
"CYCLOSPORINA","ACOT7",-0.98507992633756,0.0524435783519172,0.25302957041965,24,3
"CYCLOSPORINA","ACOT8",-0.0216081282743962,0.943192662487226,0.983263553150202,24,3
"CYCLOSPORINA","ACOT9",1.27280880344081,0.247351766998835,0.584112123232958,24,3
"CYCLOSPORINA","ACOX1",-0.632379128971437,0.00245720000004198,0.0342810913476151,24,3
"CYCLOSPORINA","ACOX2",-1.91423300293144,5.93341696593946e-08,5.06838722932618e-06,24,3
"CYCLOSPORINA","ACOX3",0.122108373879161,0.632987930289493,0.856830200883942,24,3
"CYCLOSPORINA","ACP1",0.362798415121711,0.244522256522094,0.58109003207113,24,3
"CYCLOSPORINA","ACP2",-0.497867724001175,0.0382142820156633,0.210447143955381,24,3
"CYCLOSPORINA","ACP5",-1.33595080389664,0.179838779452281,0.500526304105184,24,3
"CYCLOSPORINA","ACP6",-0.321091211628981,0.624060963187127,0.853960656868294,24,3
"CYCLOSPORINA","ACSF2",-1.51157871194352,0.0180940949365327,0.13101785377562,24,3
"CYCLOSPORINA","ACSF3",-0.0719576057840922,0.944986874491776,0.983960762634137,24,3
"CYCLOSPORINA","ACSL1",0.406109197975038,0.165968052160444,0.479534395208279,24,3
"CYCLOSPORINA","ACSL3",0.174015558075494,0.577355975724743,0.828304235409623,24,3
"CYCLOSPORINA","ACSL4",0.503118250056534,0.0270809345627369,0.170169522990738,24,3
"CYCLOSPORINA","ACSL5",-0.301722215949818,0.170328593220284,0.486045242059444,24,3
"CYCLOSPORINA","ACSM2A",-3.24225480012364,2.71344590403447e-22,4.40392270224795e-19,24,3
"CYCLOSPORINA","ACSM2B",-2.89189556441676,3.75371457983568e-13,1.04014515467105e-10,24,3
"CYCLOSPORINA","ACSM3",0.487102429726638,0.672988895595711,0.879380347732755,24,3
"CYCLOSPORINA","ACSM5",-0.958750848968089,0.000166392574170173,0.0044064942544227,24,3
"CYCLOSPORINA","ACSS1",3.30416182939986,0.0731414770134601,NA,24,3
"CYCLOSPORINA","ACSS2",0.00757227738008153,0.973993656357852,0.99190632230388,24,3
"CYCLOSPORINA","ACTA2",0.305359757405769,0.630226173177181,0.855640482010749,24,3
"CYCLOSPORINA","ACTB",-0.501810454482469,0.114306907684066,0.394827584864155,24,3
"CYCLOSPORINA","ACTBP9",0.740891403735981,0.628694861557542,NA,24,3
"CYCLOSPORINA","ACTG1",0.313086254347553,0.214244878031101,0.543881968397926,24,3
"CYCLOSPORINA","ACTL10",0.296443024651781,0.742172353624275,0.912337168310472,24,3
"CYCLOSPORINA","ACTL6A",0.35768848217814,0.120685006490246,0.407026998607122,24,3
"CYCLOSPORINA","ACTN1",0.27616793269368,0.171120306172014,0.486998446498059,24,3
"CYCLOSPORINA","ACTN4",-0.132694230663547,0.523289093850664,0.798963498889585,24,3
"CYCLOSPORINA","ACTR10",-0.130426495340344,0.672767794091421,0.879380347732755,24,3
"CYCLOSPORINA","ACTR1A",0.0742380918224904,0.758461917489792,0.920386035239833,24,3
"CYCLOSPORINA","ACTR1B",-0.417195296650782,0.104201595361528,0.37582042060391,24,3
"CYCLOSPORINA","ACTR2",1.30564704871841,0.493226872596924,NA,24,3
"CYCLOSPORINA","ACTR3",0.355904199673652,0.0359615456640903,0.203871816511841,24,3
"CYCLOSPORINA","ACTR3B",-0.00249225884542846,0.994863534955891,0.998908053082976,24,3
"CYCLOSPORINA","ACTR3C",-0.883371317191073,0.364453234224249,0.692697900681036,24,3
"CYCLOSPORINA","ACTR6",0.355034359409498,0.202231028468318,0.530243875935509,24,3
"CYCLOSPORINA","ACTR8",-0.717056646535349,0.0273573063174034,0.171526687125839,24,3
"CYCLOSPORINA","ACTRT3",-0.225911116262554,0.783631441669207,0.930383196656271,24,3
"CYCLOSPORINA","ACVR1",0.315251232761956,0.22130350448671,0.553794959135136,24,3
"CYCLOSPORINA","ACVR1B",-0.220046374952439,0.849209910624907,0.953949360841076,24,3
"CYCLOSPORINA","ACVR1C",0.777856392724217,0.535189518930476,0.805656303772246,24,3
"CYCLOSPORINA","ACVR2A",0.543425921523918,0.352201841983485,0.683828231305751,24,3
"CYCLOSPORINA","ACVR2B",0.757048888407685,0.575439604559437,NA,24,3
"CYCLOSPORINA","ACY3",-1.15269643892308,0.0727623894813463,0.310072583232399,24,3
"CYCLOSPORINA","ACYP1",-0.0122816741372879,0.970849244306758,0.990732525643184,24,3
